_                                       sanae_god                                 0.9
reimu                                  remilia                                  1.2
reimu                                  sakuya                                  0.2
reimu                                  yukari                                  0.4
reimu                                  medicine                                  0.3
reimu                                  iku                                  0.7
reimu                                  suika_sp                                  0.3
reimu                                  rinnosuke                                  0.3
reimu                                  renko                                  0.3
reimu                                  suika_god                                  -0.8
reimu                                  youmu_god                                  0.5
marisa                                  nitori                                  1.0
marisa                                  koishi                                  1.0
marisa_sp                                  rinnosuke                                  1.0
remilia                                  reimu                                  1.2
remilia                                  flandre                                  0.6
remilia                                  sakuya                                  1.5
remilia                                  patchouli                                  0.8
remilia                                  daiyousei                                  0.5
remilia                                  kaguya                                  -1.0
remilia                                  eirin                                  1.2
remilia                                  medicine                                  1.0
remilia                                  iku                                  1.0
remilia                                  yamame                                  0.8
remilia                                  murasa                                  0.8
remilia                                  yoshika                                  1.0
remilia                                  toyohime                                  0.4
remilia                                  suika_god                                  -0.8
remilia                                  mokou_ndj                                  0.4
yuyuko                                  yukari                                  0.3
yuyuko                                  youmu                                  1.0
yuyuko                                  chen                                  -0.3
yuyuko                                  reisen                                   1.1
yuyuko                                  mokou_sp                                  1.1
yuyuko                                  komachi                                  0.7
yuyuko                                  tenshi                                  0.1
yuyuko                                  kanako                                  1.0
yuyuko                                  aya                                  -0.5
yuyuko                                  utsuho                                  0.5
yuyuko                                  yugi                                  0.3
yuyuko                                  toramaru                                  0.4
yuyuko                                  murasa                                  0.4
yuyuko                                  ichirin                                  0.1
yuyuko                                  yoshika                                  0.2
yuyuko                                  yuyuko_slm                                  0.8
yuyuko                                  toyohime                                  0.7
yukari                                  sanae_sp                                   -1.4
yukari_sp                                  yuyuko_sp                                  1.0
yukari_sp                                  sanae_sp                                   -1.4
yukari_sp                                  patchouli                                   0.6
yukari_sp                                  kaguya                                   0.6
yuyuko_sp                                  sanae_sp                                   -1.4
yuyuko_sp                                  yukari_sp                                  1.0
youmu_slm                                  ran                                  -1.0
kaguya                                  reimu_sp                                  1.2
kaguya                                  daiyousei                                  -0.9
kaguya                                  yukari                                  0.8
kaguya                                  ran                                  -0.4
kaguya                                  letty                                  -1.2
kaguya                                  lilywhite                                  -1.2
kaguya                                  shanghai                                  -1.2
kaguya                                  yukari_sp                                  0.2
kaguya                                  eirin                                  1.2
kaguya                                  mokou_sp                                  -1.2
kaguya                                  minoriko                                   -1.0
kaguya                                  koishi                                  -1.2
kaguya                                  miko                                  0.6
kaguya                                  renko                                  -1.0
kaguya                                  satori_xwm                                  0.9
kaguya                                  remilia_xwm                                  0.7
kaguya                                  suika_god                                  1.0
kaguya                                  youmu_god                                  -1.0
mokou                                  miko                                   -0.4
shirasawa                                  mokou_sp                                  1.0
mokou_sp                                  shirasawa                                  1.0
shikieiki                                 komachi                                  1.2
shikieiki                                 medicine                                  1.2
shikieiki                                 tenshi                                  1.1
shikieiki                                 iku                                  0.7
shikieiki                                 suika_sp                                   0.6
shikieiki                                  reimu_sp                                  -0.8
shikieiki                                  remilia                                  0.2
shikieiki                                  yukari                                  0.4
shikieiki                                   ran                                   0.7
shikieiki                                  lilywhite                                  0.9
shikieiki                                  koishi                                  0.3
shikieiki                                  rinnosuke                                  0.3
shikieiki                                  renko                                  0.3
shikieiki                                  suika_god                                  -0.8
shikieiki                                  youmu_god                                  0.5
suika                                  yugi                                  0.5
tenshi                                   reimu                                  1.2
tenshi                                   flandre                                  0.6
tenshi                                   sakuya                                  1.0
tenshi                                   ran                                  0.8
tenshi                                   eirin                                  1.2
tenshi                                   medicine                                  1.0
tenshi                                   iku                                  1.0
tenshi                                   yamame                                  1.1
tenshi                                   murasa                                  0.8
tenshi                                  yoshika                                  1.0
tenshi                                  toyohime                                  0.6
tenshi                                  meirin_god                                  0.6
iku                                  toziko                                  0.6
kokoro                                  koishi                                  0.7
kokoro                                  miko                                  0.7
kanako                                  yuyuko                                   0.7
kanako                                  shirasawa                                   1.0
kanako                                  suwako                                   1.0
kanako                                  sanae                                   1.0
kanako                                  hina                                   0.7
kanako                                  sanae_sp                                   -1.4
kanako                                  rinnosuke                                   0.6
aya                                  star                                   1.1
satori                                  utsuho                                   0.7
satori                                  rin                                   0.7
satori                                  parsee                                   0.7
satori                                  kisume                                   0.7
satori                                  meirin_god                                  1.0
byakuren                                  reimu                                   0.7
byakuren                                  eirin                                   0.5
byakuren                                  kanako                                   0.3
byakuren                                  nue                                   0.3
byakuren                                  toramaru                                   1.3
byakuren                                  ichirin                                   0.5
miko                                  reimu_yym                                   0.7
miko                                  kaguya                                   0.5
miko                                  mokou                                   -0.6
miko                                  tewi                                   0.5
miko                                  kokoro                                  0.7
miko                                  aya_xwm                                   0.5
toziko                                  iku                                  0.4
seiga                                  mokou_sp                                   0.6
seiga                                  toyohime                                   0.8
seiga                                  komachi                                  0.2
seiga                                  utsuho                                   0.4
kyouko                                  iku                                   1.1
kyouko                                  murasa                                   0.7
akyuu                                  reimu_sp                                  1.1
akyuu                                  yukari                                  0.5
akyuu                                  eirin                                  0.7
akyuu                                  tokiko                                  0.8
akyuu                                  star                                  0.8
akyuu                                  satori_xwm                                  0.5
rinnosuke                                  marisa_sp                                  1.0
merry                                  sanae_sp                                   -1.4
star                                  aya                                   1.1
satori_xwm                                  reimu_sp                                  1.2
satori_xwm                                  yukari                                  0.8
satori_xwm                                   kaguya                                   1.0
satori_xwm                                  eirin                                  1.2
satori_xwm                                  remilia_xwm                                  0.3
mokou_xwm                                   sanae_sp                                   -1.4
marisa_slm                                  sanae_sp                                   -1.4
remilia_god                                  sanae_sp                                   -1.4
eirin_god                                  sanae_sp                                   -1.4
suika_god                                 remilia                                    -1.3
suika_god                                kaguya                                     1.0
suika_god                                 eirin                                    -1.0
suika_god                                 byakuren                                   -1.1
suika_god                                satori_xwm                                     1.0
reisen_god                                  minoriko                                  -1.3
reisen_god                                  koishi                                  -1.3
reisen_god                                  daiyousei                                  -1.3
reimu_sp                                  marisa_xwm                                      0.7
reimu_sp                                  aya_xwm                                      0.7
marisa_xwm                                   reimu_sp                                      0.7
aya_xwm                                   reimu_sp                                      0.5
aya_xwm                                  miko                                    0.5
